Zespol,Slupek,Lines,RealTime,TimeTable
3066,02,180,2024-01-18 18:18:06,18:18:00
3071,02,167,2024-01-18 17:54:59,17:55:00
3079,04,107,2024-01-18 18:24:10,18:24:00
3085,52,107,2024-01-18 18:08:02,18:08:00
3089,02,107,2024-01-18 18:28:51,18:28:00
3098,05,402,2024-01-18 18:14:11,18:15:00
3120,06,193,2024-01-18 18:20:04,18:20:00
3134,03,263,2024-01-18 18:10:08,18:11:00
3136,04,193,2024-01-18 18:16:58,18:16:00
3138,05,217,2024-01-18 18:18:06,18:18:00
3151,02,148,2024-01-18 18:04:09,18:05:00
3151,02,148,2024-01-18 18:20:04,18:20:00
3152,01,163,2024-01-18 18:01:03,18:02:00
3162,04,709,2024-01-18 18:08:03,18:09:00
3162,04,709,2024-01-18 18:14:14,18:15:00
3167,01,727,2024-01-18 18:32:07,18:33:00
3167,03,L12,2024-01-18 17:52:58,17:53:00
3179,03,L16,2024-01-18 18:00:02,18:00:00
3193,01,710,2024-01-18 18:38:14,18:39:00
3240,01,136,2024-01-18 18:18:06,18:18:00
3247,02,136,2024-01-18 18:28:10,18:29:00
3248,02,401,2024-01-18 18:05:03,18:05:00
3249,02,165,2024-01-18 18:02:04,18:02:00
3254,01,189,2024-01-18 18:18:05,18:18:00
3282,04,504,2024-01-18 18:22:07,18:22:00
3285,02,251,2024-01-18 18:20:03,18:21:00
3304,01,742,2024-01-18 18:22:07,18:23:00
3308,03,167,2024-01-18 18:36:11,18:36:00
3325,04,107,2024-01-18 18:17:10,18:18:00
3334,01,710,2024-01-18 18:28:59,18:29:00
3334,01,724,2024-01-18 17:43:50,17:44:00
3391,02,263,2024-01-18 17:42:53,17:43:00
3400,02,179,2024-01-18 18:27:08,18:28:00
3400,02,179,2024-01-18 18:28:10,18:28:00
3400,02,179,2024-01-18 17:48:49,17:48:00
3400,02,179,2024-01-18 17:57:55,17:58:00
3427,02,159,2024-01-18 18:01:02,18:01:00
3431,02,L13,2024-01-18 18:26:12,18:26:00
3860,01,L16,2024-01-18 18:20:07,18:21:00
4003,01,157,2024-01-18 18:20:06,18:21:00
4003,02,191,2024-01-18 18:00:59,18:01:00
4003,02,191,2024-01-18 18:26:13,18:26:00
4005,05,186,2024-01-18 18:14:11,18:15:00
4005,10,208,2024-01-18 17:59:58,18:00:00
4011,05,189,2024-01-18 18:21:13,18:21:00
4011,06,401,2024-01-18 17:57:02,17:58:00
4021,01,124,2024-01-18 17:59:58,18:00:00
4029,55,143,2024-01-18 18:33:13,18:34:00
4029,04,187,2024-01-18 17:44:56,17:45:00
4030,01,136,2024-01-18 18:04:08,18:05:00
4033,01,188,2024-01-18 17:45:52,17:45:00
4035,01,175,2024-01-18 17:48:55,17:48:00
4036,01,228,2024-01-18 18:10:51,18:10:00
4037,03,189,2024-01-18 18:17:09,18:17:00
4037,04,189,2024-01-18 18:11:03,18:12:00
4043,01,158,2024-01-18 18:09:00,18:09:00
4043,04,187,2024-01-18 18:18:05,18:19:00
4044,03,182,2024-01-18 18:10:08,18:10:00
4044,03,182,2024-01-18 18:29:09,18:30:00
4044,03,182,2024-01-18 18:30:16,18:30:00
4044,03,182,2024-01-18 17:59:03,18:00:00
4045,05,158,2024-01-18 17:50:53,17:51:00
4045,02,717,2024-01-18 18:01:00,18:01:00
4048,02,717,2024-01-18 18:36:09,18:36:00
4055,02,711,2024-01-18 18:24:12,18:24:00
4066,01,721,2024-01-18 18:32:10,18:32:00
4072,02,728,2024-01-18 18:17:03,18:17:00
4085,01,141,2024-01-18 18:07:05,18:07:00
4093,01,178,2024-01-18 18:03:00,18:03:00
4116,02,187,2024-01-18 18:02:04,18:03:00
4117,02,157,2024-01-18 18:02:05,18:03:00
4123,02,401,2024-01-18 17:48:49,17:49:00
4130,01,191,2024-01-18 18:12:58,18:13:00
4130,02,207,2024-01-18 18:01:05,18:02:00
4130,02,207,2024-01-18 18:02:01,18:02:00
4134,02,191,2024-01-18 18:14:58,18:14:00
4143,01,317,2024-01-18 18:04:58,18:04:00
4144,01,317,2024-01-18 18:07:58,18:07:00
4147,01,148,2024-01-18 18:19:08,18:19:00
4157,02,706,2024-01-18 17:49:57,17:49:00
4166,02,711,2024-01-18 18:17:09,18:18:00
4205,02,187,2024-01-18 18:33:17,18:34:00
4207,51,401,2024-01-18 18:14:11,18:14:00
4211,01,187,2024-01-18 18:07:06,18:08:00
4211,02,517,2024-01-18 18:35:14,18:35:00
4212,01,194,2024-01-18 18:04:06,18:05:00
4213,51,127,2024-01-18 18:33:16,18:33:00
4213,01,189,2024-01-18 18:09:00,18:09:00
4214,01,191,2024-01-18 17:50:01,17:51:00
4217,21,129,2024-01-18 18:35:17,18:36:00
4217,21,129,2024-01-18 18:36:13,18:36:00
4219,01,401,2024-01-18 18:32:11,18:32:00
4224,01,127,2024-01-18 17:52:58,17:53:00
4224,01,127,2024-01-18 18:08:00,18:08:00
4224,01,127,2024-01-18 18:22:08,18:23:00
4279,01,124,2024-01-18 17:59:02,17:59:00
4283,03,178,2024-01-18 17:59:03,17:59:00
4351,02,228,2024-01-18 17:58:55,17:58:00
4805,02,L-1,2024-01-18 17:48:54,17:49:00
5002,05,157,2024-01-18 18:32:08,18:32:00
5011,07,Z26,2024-01-18 18:32:09,18:32:00
5012,06,189,2024-01-18 18:30:14,18:30:00
5017,02,714,2024-01-18 18:38:14,18:38:00
5021,06,255,2024-01-18 18:21:14,18:22:00
5030,03,197,2024-01-18 18:33:15,18:33:00
5030,06,201,2024-01-18 18:27:09,18:27:00
5032,02,523,2024-01-18 17:55:01,17:55:00
5032,02,523,2024-01-18 17:47:57,17:48:00
5034,02,167,2024-01-18 18:08:59,18:09:00
5048,02,105,2024-01-18 18:40:15,18:40:00
5048,01,220,2024-01-18 18:40:13,18:40:00
5050,04,714,2024-01-18 18:35:18,18:35:00
5051,01,167,2024-01-18 18:32:05,18:32:00
5054,01,220,2024-01-18 17:45:55,17:46:00
5059,02,129,2024-01-18 18:29:08,18:29:00
5061,02,523,2024-01-18 18:00:01,18:00:00
5071,03,129,2024-01-18 17:50:56,17:51:00
5073,03,201,2024-01-18 17:42:53,17:42:00
5092,01,112,2024-01-18 18:09:00,18:09:00
5093,01,149,2024-01-18 17:55:54,17:56:00
5096,02,178,2024-01-18 18:20:08,18:21:00
5102,02,220,2024-01-18 18:05:02,18:05:00
5104,06,190,2024-01-18 17:55:01,17:55:00
5106,02,220,2024-01-18 17:55:01,17:55:00
5109,02,189,2024-01-18 17:57:56,17:57:00
5110,01,523,2024-01-18 18:02:05,18:03:00
5116,01,186,2024-01-18 18:10:20,18:11:00
5135,02,149,2024-01-18 18:04:06,18:04:00
5136,01,149,2024-01-18 17:48:54,17:49:00
5138,01,713,2024-01-18 18:05:52,18:06:00
5147,01,149,2024-01-18 18:06:01,18:06:00
5152,02,197,2024-01-18 18:13:02,18:13:00
5152,01,201,2024-01-18 17:45:31,17:45:00
5157,05,111,2024-01-18 18:27:04,18:27:00
5161,12,220,2024-01-18 18:15:03,18:16:00
5163,01,167,2024-01-18 18:29:06,18:29:00
5165,02,201,2024-01-18 18:40:12,18:41:00
6001,02,116,2024-01-18 18:31:13,18:31:00
6005,02,116,2024-01-18 18:38:11,18:38:00
6015,04,150,2024-01-18 17:49:57,17:49:00
6021,03,103,2024-01-18 18:18:06,18:19:00
6022,02,303,2024-01-18 17:50:53,17:51:00
6026,05,114,2024-01-18 18:21:11,18:21:00
6028,01,110,2024-01-18 18:02:02,18:03:00
6036,01,250,2024-01-18 17:59:00,17:59:00
6042,05,186,2024-01-18 18:10:08,18:11:00
6045,07,103,2024-01-18 18:08:04,18:08:00
6053,01,110,2024-01-18 18:11:02,18:11:00
6057,01,Z12,2024-01-18 17:42:53,17:42:00
6074,01,181,2024-01-18 17:54:57,17:54:00
6077,01,185,2024-01-18 18:21:10,18:21:00
6082,05,185,2024-01-18 17:43:44,17:44:00
6098,01,122,2024-01-18 18:24:06,18:24:00
6101,01,250,2024-01-18 17:55:00,17:55:00
6116,01,210,2024-01-18 18:02:57,18:02:00
6139,01,L18,2024-01-18 17:44:55,17:45:00
6155,03,103,2024-01-18 18:20:03,18:21:00
6201,02,L-7,2024-01-18 18:21:14,18:21:00
6625,01,150,2024-01-18 17:48:49,17:49:00
6628,02,150,2024-01-18 17:58:38,17:59:00
6657,01,750,2024-01-18 18:31:11,18:31:00
6803,01,L-6,2024-01-18 18:22:10,18:22:00
6806,01,150,2024-01-18 17:45:53,17:46:00
6825,02,L29,2024-01-18 18:14:09,18:14:00
7002,16,507,2024-01-18 18:31:13,18:32:00
7002,16,507,2024-01-18 18:32:10,18:32:00
7002,06,ZA1,2024-01-18 18:00:01,18:00:00
7006,01,182,2024-01-18 17:57:02,17:58:00
7013,06,127,2024-01-18 18:19:11,18:20:00
7014,01,107,2024-01-18 18:29:09,18:30:00
7016,01,520,2024-01-18 18:21:13,18:22:00
7016,01,520,2024-01-18 18:01:06,18:02:00
7016,01,520,2024-01-18 18:11:04,18:12:00
7036,01,131,2024-01-18 18:04:09,18:05:00
7038,03,159,2024-01-18 18:21:13,18:21:00
7040,02,116,2024-01-18 18:31:03,18:31:00
7042,01,111,2024-01-18 17:59:03,18:00:00
7042,01,116,2024-01-18 17:42:52,17:42:00
7044,01,128,2024-01-18 18:35:17,18:35:00
7045,01,175,2024-01-18 18:38:14,18:38:00
7046,01,175,2024-01-18 17:57:02,17:57:00
7049,01,180,2024-01-18 18:17:08,18:17:00
7049,02,518,2024-01-18 18:29:08,18:29:00
7061,02,106,2024-01-18 18:22:08,18:23:00
7061,01,127,2024-01-18 17:48:54,17:49:00
7064,01,127,2024-01-18 18:07:09,18:08:00
7069,02,162,2024-01-18 18:30:16,18:31:00
7069,04,517,2024-01-18 18:04:00,18:04:00
7071,02,138,2024-01-18 18:10:07,18:10:00
7071,02,188,2024-01-18 18:14:11,18:14:00
7073,01,162,2024-01-18 18:17:08,18:18:00
7079,04,162,2024-01-18 18:28:15,18:29:00
7095,01,180,2024-01-18 18:26:13,18:26:00
