Zespol,Slupek,Lines,RealTime,TimeTable
1003,02,162,2024-01-18 12:04:41,12:04:00
1005,11,135,2024-01-18 12:14:51,12:15:00
1005,18,166,2024-01-18 11:45:34,11:45:00
1005,11,212,2024-01-18 11:45:34,11:45:00
1005,18,338,2024-01-18 12:32:02,12:32:00
1005,18,338,2024-01-18 12:32:42,12:32:00
1013,02,211,2024-01-18 11:49:37,11:49:00
1013,02,509,2024-01-18 12:15:53,12:16:00
1013,09,516,2024-01-18 12:41:59,12:42:00
1016,01,186,2024-01-18 12:38:07,12:38:00
1017,01,186,2024-01-18 12:36:00,12:36:00
1020,03,152,2024-01-18 12:15:52,12:15:00
1025,01,900,2024-01-18 12:19:53,12:20:00
1028,11,123,2024-01-18 11:53:38,11:53:00
1054,02,512,2024-01-18 12:15:48,12:15:00
1057,02,262,2024-01-18 11:52:34,11:52:00
1064,03,262,2024-01-18 12:17:53,12:18:00
1064,03,262,2024-01-18 11:47:34,11:48:00
1074,02,212,2024-01-18 11:48:36,11:48:00
1085,13,104,2024-01-18 11:54:34,11:55:00
1104,01,152,2024-01-18 11:47:36,11:48:00
1120,01,516,2024-01-18 12:11:47,12:11:00
1125,01,736,2024-01-18 12:34:59,12:34:00
1137,02,212,2024-01-18 12:15:54,12:15:00
1140,03,120,2024-01-18 12:21:53,12:22:00
1140,09,140,2024-01-18 12:34:01,12:35:00
1147,03,212,2024-01-18 12:23:56,12:23:00
1150,01,104,2024-01-18 11:45:34,11:46:00
1152,01,169,2024-01-18 12:15:53,12:16:00
1152,08,199,2024-01-18 12:36:05,12:37:00
1152,08,199,2024-01-18 12:37:01,12:37:00
1152,04,500,2024-01-18 12:04:44,12:05:00
1152,04,500,2024-01-18 12:05:39,12:05:00
1152,04,500,2024-01-18 11:55:44,11:55:00
1152,04,500,2024-01-18 12:25:56,12:25:00
1157,02,114,2024-01-18 12:00:42,12:00:00
1158,03,114,2024-01-18 11:47:35,11:47:00
1165,02,204,2024-01-18 12:14:55,12:14:00
1170,02,314,2024-01-18 12:14:56,12:15:00
1176,01,104,2024-01-18 12:32:55,12:33:00
1179,01,527,2024-01-18 11:56:40,11:56:00
1181,02,120,2024-01-18 12:38:06,12:39:00
1194,01,133,2024-01-18 12:23:54,12:24:00
1219,01,126,2024-01-18 12:28:51,12:29:00
1222,02,145,2024-01-18 11:45:33,11:46:00
1231,02,146,2024-01-18 12:05:40,12:06:00
1234,03,112,2024-01-18 12:36:07,12:36:00
1234,04,112,2024-01-18 12:19:55,12:19:00
1234,04,112,2024-01-18 12:34:01,12:34:00
1234,04,112,2024-01-18 11:48:41,11:49:00
1235,02,738,2024-01-18 12:32:03,12:33:00
1239,01,738,2024-01-18 12:11:47,12:12:00
1239,02,738,2024-01-18 12:13:52,12:13:00
1240,03,240,2024-01-18 12:22:57,12:23:00
1242,02,738,2024-01-18 11:49:26,11:50:00
1260,03,104,2024-01-18 12:15:52,12:15:00
1280,01,527,2024-01-18 12:23:57,12:24:00
1294,01,314,2024-01-18 12:36:59,12:36:00
1298,01,186,2024-01-18 12:23:52,12:24:00
1298,01,186,2024-01-18 12:36:57,12:36:00
1313,03,516,2024-01-18 12:09:48,12:10:00
1319,01,112,2024-01-18 12:04:40,12:04:00
1319,01,240,2024-01-18 11:49:33,11:49:00
1326,02,204,2024-01-18 11:47:35,11:48:00
1355,01,204,2024-01-18 11:52:34,11:52:00
1357,01,527,2024-01-18 11:50:33,11:50:00
1359,02,132,2024-01-18 11:47:35,11:48:00
1402,01,516,2024-01-18 12:09:46,12:09:00
1404,02,516,2024-01-18 11:49:35,11:50:00
1438,01,314,2024-01-18 12:09:47,12:09:00
