Zespol,Slupek,Lines,RealTime,TimeTable
1003,03,190,2024-01-18 18:02:05,17:58:00
1003,03,190,2024-01-18 18:02:05,18:06:00
1003,01,509,2024-01-18 18:05:05,18:02:00
1003,01,509,2024-01-18 18:05:05,18:12:00
1003,01,509,2024-01-18 18:17:10,18:12:00
1003,01,509,2024-01-18 18:17:10,18:22:00
1005,11,135,2024-01-18 18:29:10,18:36:00
1005,11,135,2024-01-18 18:12:57,18:16:00
1005,07,162,2024-01-18 18:11:02,18:10:00
1005,18,166,2024-01-18 18:17:02,18:25:00
1005,18,166,2024-01-18 18:18:03,18:25:00
1005,18,166,2024-01-18 18:19:03,18:25:00
1005,18,166,2024-01-18 18:20:03,18:25:00
1005,18,166,2024-01-18 18:21:05,18:25:00
1005,18,166,2024-01-18 18:22:05,18:25:00
1005,18,166,2024-01-18 18:33:15,18:25:00
1005,06,170,2024-01-18 18:27:05,18:20:00
1005,06,170,2024-01-18 18:27:05,18:35:00
1005,11,212,2024-01-18 17:59:57,18:05:00
1005,11,212,2024-01-18 18:02:59,18:05:00
1005,11,212,2024-01-18 17:43:47,17:50:00
1005,11,212,2024-01-18 17:44:55,17:50:00
1005,11,212,2024-01-18 18:40:16,18:45:00
1013,12,736,2024-01-18 18:34:04,18:42:00
1013,12,736,2024-01-18 18:35:09,18:42:00
1013,12,736,2024-01-18 18:36:09,18:42:00
1013,12,736,2024-01-18 18:38:09,18:42:00
1013,12,736,2024-01-18 18:40:09,18:42:00
1015,02,186,2024-01-18 18:18:06,18:20:00
1016,01,509,2024-01-18 18:38:15,18:37:00
1016,01,509,2024-01-18 18:38:15,18:42:00
1017,01,518,2024-01-18 18:06:01,18:01:00
1017,02,518,2024-01-18 17:45:54,17:40:00
1017,02,518,2024-01-18 17:45:54,17:50:00
1018,01,516,2024-01-18 18:08:57,18:06:00
1018,02,516,2024-01-18 18:19:13,18:21:00
1019,02,186,2024-01-18 17:57:57,17:56:00
1019,02,186,2024-01-18 17:57:57,18:06:00
1019,02,511,2024-01-18 18:34:12,18:33:00
1020,01,314,2024-01-18 17:54:59,17:53:00
1020,03,509,2024-01-18 18:23:59,18:18:00
1020,03,509,2024-01-18 18:23:59,18:26:00
1021,02,152,2024-01-18 18:17:10,18:14:00
1027,01,731,2024-01-18 18:29:07,18:25:00
1034,01,138,2024-01-18 17:50:51,17:49:00
1036,03,156,2024-01-18 17:48:48,17:47:00
1043,01,338,2024-01-18 17:49:55,17:42:00
1043,01,338,2024-01-18 17:49:55,17:57:00
1054,01,512,2024-01-18 17:56:55,17:55:00
1055,01,190,2024-01-18 18:30:03,18:22:00
1055,01,190,2024-01-18 18:30:03,18:29:00
1055,01,190,2024-01-18 18:30:03,18:37:00
1056,03,140,2024-01-18 18:28:15,18:23:00
1056,03,140,2024-01-18 18:28:15,18:35:00
1057,01,512,2024-01-18 17:52:55,17:51:00
1061,01,512,2024-01-18 18:02:59,18:06:00
1063,02,512,2024-01-18 18:26:10,18:29:00
1064,03,262,2024-01-18 17:57:57,18:03:00
1064,03,262,2024-01-18 17:59:57,18:03:00
1064,03,262,2024-01-18 18:35:18,18:33:00
1064,03,262,2024-01-18 18:38:11,18:33:00
1064,03,262,2024-01-18 18:40:14,18:33:00
1064,03,262,2024-01-18 18:40:14,18:48:00
1065,01,245,2024-01-18 18:32:09,18:31:00
1066,01,169,2024-01-18 18:19:12,18:16:00
1075,02,212,2024-01-18 18:10:08,18:09:00
1083,01,126,2024-01-18 18:04:52,18:02:00
1085,13,104,2024-01-18 18:10:04,18:03:00
1085,13,104,2024-01-18 18:10:04,18:18:00
1085,13,104,2024-01-18 18:31:11,18:33:00
1095,01,176,2024-01-18 18:38:15,18:37:00
1095,01,314,2024-01-18 18:38:12,18:36:00
1100,02,176,2024-01-18 17:58:59,17:54:00
1105,01,152,2024-01-18 17:55:55,17:57:00
1111,01,133,2024-01-18 18:20:05,18:24:00
1115,01,133,2024-01-18 18:34:10,18:39:00
1118,01,211,2024-01-18 18:34:12,18:31:00
1118,01,211,2024-01-18 18:34:12,18:41:00
1137,01,120,2024-01-18 18:15:03,18:14:00
1140,09,140,2024-01-18 18:02:05,18:00:00
1140,09,140,2024-01-18 18:02:05,18:10:00
1140,09,140,2024-01-18 18:31:11,18:30:00
1140,09,140,2024-01-18 18:32:11,18:30:00
1140,09,140,2024-01-18 18:32:11,18:40:00
1140,09,140,2024-01-18 18:35:18,18:30:00
1140,09,140,2024-01-18 18:35:18,18:40:00
1140,09,140,2024-01-18 18:38:15,18:30:00
1140,09,140,2024-01-18 18:38:15,18:40:00
