Zespol,Slupek,Lines,RealTime,TimeTable
1176,01,104,2024-01-18 12:01:37,12:03:00
1176,01,104,2024-01-18 12:28:55,12:33:00
1176,01,104,2024-01-18 12:32:00,12:33:00
1179,05,212,2024-01-18 12:32:01,12:35:00
1179,05,212,2024-01-18 12:32:56,12:35:00
1179,05,212,2024-01-18 12:08:39,12:15:00
1179,05,212,2024-01-18 12:09:44,12:15:00
1179,05,212,2024-01-18 12:10:40,12:15:00
1179,05,212,2024-01-18 12:11:46,12:15:00
1179,05,212,2024-01-18 12:13:51,12:15:00
1179,05,212,2024-01-18 11:50:33,11:55:00
1182,06,527,2024-01-18 12:14:58,12:07:00
1182,06,527,2024-01-18 12:14:58,12:17:00
1193,02,736,2024-01-18 11:50:25,11:52:00
1202,01,240,2024-01-18 12:07:31,12:06:00
1205,02,132,2024-01-18 11:50:30,11:54:00
1205,02,134,2024-01-18 12:21:56,12:30:00
1215,03,212,2024-01-18 11:47:32,11:46:00
1215,04,512,2024-01-18 12:05:41,12:11:00
1215,04,512,2024-01-18 12:08:40,12:11:00
1234,04,112,2024-01-18 12:37:01,12:34:00
1234,04,112,2024-01-18 12:40:09,12:34:00
1234,04,112,2024-01-18 12:42:01,12:34:00
1234,04,112,2024-01-18 12:42:01,12:49:00
1234,04,112,2024-01-18 12:21:55,12:19:00
1234,04,112,2024-01-18 12:23:02,12:19:00
1234,04,112,2024-01-18 12:23:54,12:19:00
1234,04,112,2024-01-18 12:25:00,12:19:00
1234,04,112,2024-01-18 12:25:58,12:19:00
1234,04,112,2024-01-18 12:25:58,12:34:00
1234,04,112,2024-01-18 12:27:02,12:19:00
1234,04,112,2024-01-18 12:27:02,12:34:00
1234,04,112,2024-01-18 12:30:57,12:34:00
1234,04,112,2024-01-18 12:32:03,12:34:00
1234,04,112,2024-01-18 12:32:59,12:34:00
1234,04,112,2024-01-18 11:47:35,11:49:00
1234,01,190,2024-01-18 12:32:04,12:25:00
1234,01,190,2024-01-18 12:32:04,12:35:00
1235,01,738,2024-01-18 11:55:43,11:52:00
1240,03,240,2024-01-18 12:21:52,12:23:00
1250,04,518,2024-01-18 12:25:59,12:27:00
1250,04,518,2024-01-18 12:08:40,12:07:00
1253,01,509,2024-01-18 12:24:48,12:22:00
1253,01,509,2024-01-18 12:24:48,12:32:00
1253,07,516,2024-01-18 12:28:54,12:33:00
1253,07,516,2024-01-18 12:40:09,12:33:00
1253,07,516,2024-01-18 12:40:09,12:48:00
1253,07,516,2024-01-18 11:56:35,12:03:00
1253,07,516,2024-01-18 11:58:41,12:03:00
1253,07,516,2024-01-18 11:59:32,12:03:00
1253,07,516,2024-01-18 12:09:45,12:03:00
1253,07,516,2024-01-18 12:09:45,12:18:00
