Lines,Lon,VehicleNumber,Time,Lat,Brigade,Zespol,Slupek
199,21.0413608,7700,2024-01-18 17:45:55,52.3000303,4,1152,08
199,21.0413608,7700,2024-01-18 17:47:55,52.3000303,4,1152,08
199,21.0413608,7700,2024-01-18 17:48:49,52.3000303,4,1152,08
199,21.0413619,7700,2024-01-18 17:50:01,52.3000513,4,1152,08
199,21.0413619,7700,2024-01-18 17:50:55,52.3000513,4,1152,08
520,21.002124,7704,2024-01-18 17:57:02,52.2430932,09,7016,01
520,21.0021099,7704,2024-01-18 17:59:04,52.2431069,09,7016,01
520,21.0021191,7704,2024-01-18 18:00:01,52.2430967,09,7016,01
520,21.0021192,7704,2024-01-18 18:01:06,52.243092,09,7016,01
525,21.1966239,7705,2024-01-18 17:57:02,52.2082872,2,2032,01
525,21.1966027,7705,2024-01-18 17:59:03,52.2083089,2,2032,01
525,21.1965989,7705,2024-01-18 18:00:01,52.2083007,2,2032,01
507,21.0499677,7707,2024-01-18 18:18:06,52.2379835,2,2131,01
507,21.005301,7707,2024-01-18 18:27:09,52.2295712,2,7002,16
507,21.0053065,7707,2024-01-18 18:28:14,52.2295717,2,7002,16
507,21.0053154,7707,2024-01-18 18:29:09,52.2295756,2,7002,16
507,21.0053287,7707,2024-01-18 18:30:16,52.2295646,2,7002,16
507,21.005315,7707,2024-01-18 18:31:13,52.229578,2,7002,16
507,21.0053089,7707,2024-01-18 18:32:10,52.229577,2,7002,16
507,21.0053137,7707,2024-01-18 18:33:16,52.2295706,2,7002,16
507,21.0053116,7707,2024-01-18 18:34:12,52.2295767,2,7002,16
502,21.2174086,7708,2024-01-18 17:43:49,52.2144101,09,2440,05
502,21.2173894,7708,2024-01-18 17:44:59,52.2144087,09,2440,05
502,21.2173869,7708,2024-01-18 17:47:58,52.2144134,09,2440,05
502,21.2173872,7708,2024-01-18 17:48:55,52.214411,09,2440,05
502,21.217405,7708,2024-01-18 17:50:01,52.2144152,09,2440,05
502,21.2174127,7708,2024-01-18 17:50:56,52.2144079,09,2440,05
502,21.2429799,7708,2024-01-18 18:00:01,52.2177131,09,2349,02
105,20.8971472,7712,2024-01-18 17:48:55,52.2282866,011,5047,02
105,20.8969695,7712,2024-01-18 18:11:01,52.2201831,011,5045,01
713,20.8407647,7713,2024-01-18 17:45:55,52.2145507,04,5091,01
136,20.9874182,7718,2024-01-18 18:04:08,52.2096342,4,4030,01
136,21.0017744,7718,2024-01-18 18:18:06,52.1880587,4,3240,01
186,20.9605604,7721,2024-01-18 17:43:50,52.2683225,018,6042,05
186,20.9752909,7721,2024-01-18 17:57:57,52.3171629,018,1019,02
186,20.9595524,7721,2024-01-18 18:03:01,52.3164869,018,1256,02
733,20.9349519,7725,2024-01-18 17:47:58,52.1674722,507,4018,01
733,20.944045,7725,2024-01-18 17:57:02,52.1751524,507,4015,17
105,20.9804501,7726,2024-01-18 18:01:05,52.2293885,010,5040,09
105,20.8969575,7726,2024-01-18 18:40:15,52.232262,010,5048,02
517,20.8617329,7727,2024-01-18 17:45:55,52.190898,7,4221,03
517,20.8617297,7727,2024-01-18 17:47:58,52.1908934,7,4221,03
517,20.8617316,7727,2024-01-18 17:48:55,52.1908949,7,4221,03
517,20.8617589,7727,2024-01-18 17:50:01,52.1909072,7,4221,03
517,20.8617579,7727,2024-01-18 17:55:01,52.1909034,7,4221,03
517,20.8617349,7727,2024-01-18 17:55:56,52.1909054,7,4221,03
517,20.8617236,7727,2024-01-18 17:57:02,52.1909124,7,4221,03
517,20.8617231,7727,2024-01-18 17:57:57,52.1909076,7,4221,03
186,20.9421907,7728,2024-01-18 18:15:07,52.3340325,017,1253,09
186,20.9422162,7728,2024-01-18 18:20:08,52.334025,017,1253,09
116,21.0248017,7732,2024-01-18 18:19:12,52.2207175,4,7037,01
520,21.0154709,7733,2024-01-18 18:11:04,52.2180742,010,7006,08
520,21.0109874,7733,2024-01-18 18:17:09,52.231443,010,7013,04
520,21.0021149,7733,2024-01-18 18:30:15,52.2430997,010,7016,01
125,21.1603981,7736,2024-01-18 17:43:49,52.2258397,07,2020,02
125,21.1756827,7736,2024-01-18 18:02:05,52.2061934,07,2028,01
507,21.1021549,7737,2024-01-18 18:14:11,52.2220612,3,2148,02
750,20.715061,774,2024-01-18 18:28:13,52.392101,2,6657,01
750,20.715057,774,2024-01-18 18:31:11,52.39209,2,6657,01
521,21.1864286,7740,2024-01-18 18:31:14,52.1860119,09,2042,01
507,21.0052855,7743,2024-01-18 18:40:17,52.2295517,07,7002,16
521,21.1992077,7744,2024-01-18 17:43:50,52.1731527,08,2045,01
411,21.0154137,7746,2024-01-18 17:43:50,52.2194939,01,7006,09
402,21.040322,7750,2024-01-18 18:14:11,52.1713275,014,3098,05
143,21.0828789,7751,2024-01-18 18:04:09,52.240902,3,2130,02
143,21.1781764,7751,2024-01-18 18:34:12,52.2608477,3,2263,02
143,21.1771512,7751,2024-01-18 18:36:14,52.2569817,3,2086,01
509,20.9409476,7753,2024-01-18 17:57:02,52.3282311,8,1298,02
509,20.9434994,7753,2024-01-18 18:22:09,52.338632,8,1406,01
509,20.9898292,7753,2024-01-18 18:38:15,52.3027152,8,1016,01
525,21.0816394,7756,2024-01-18 18:11:05,52.2358159,012,2100,03
520,21.0020931,7757,2024-01-18 17:50:53,52.2430976,6,7016,01
520,21.1559973,7757,2024-01-18 18:40:16,52.240387,6,2064,03
402,21.1533994,7801,2024-01-18 18:13:05,52.2393745,6,2063,02
402,21.1475952,7801,2024-01-18 18:33:17,52.2383274,6,2062,01
145,21.0002292,7803,2024-01-18 18:36:13,52.2914805,3,1013,13
145,21.021913,7804,2024-01-18 17:43:43,52.286626,012,1157,02
182,21.0139632,7805,2024-01-18 17:57:02,52.2168699,7,7006,01
182,21.0783966,7805,2024-01-18 18:10:09,52.23471,7,2100,04
182,21.1129252,7805,2024-01-18 18:28:14,52.2362867,7,2105,01
125,21.0412923,7806,2024-01-18 17:42:50,52.2415233,5,1231,03
521,21.1590259,7809,2024-01-18 18:32:11,52.2134462,012,2037,01
523,20.9058575,7811,2024-01-18 18:02:05,52.2550517,2,5110,01
523,20.9556154,7811,2024-01-18 18:20:08,52.2372515,2,5028,03
402,21.1565537,7813,2024-01-18 18:26:14,52.2386672,010,2064,05
502,21.0152415,7814,2024-01-18 18:13:05,52.2187399,1,7006,05
520,21.1388497,7817,2024-01-18 17:57:02,52.2381652,1,2060,01
411,21.1055826,7818,2024-01-18 18:02:05,52.2223991,466,2148,10
411,21.2431394,7818,2024-01-18 18:20:08,52.2207942,466,2275,01
411,21.2174019,7818,2024-01-18 18:28:14,52.2144247,466,2440,05
502,21.2173954,7818,2024-01-18 18:29:09,52.2144354,466,2440,05
199,21.0413677,7819,2024-01-18 18:11:05,52.3000444,06,1152,08
199,21.1182441,7819,2024-01-18 18:36:13,52.2880399,06,1332,02
199,21.1204947,7819,2024-01-18 18:38:15,52.2841677,06,1333,02
150,20.8770451,782,2024-01-18 17:42:53,52.3441938,010,6809,02
111,21.0828741,7820,2024-01-18 17:44:58,52.2260764,2,2145,02
111,20.9943316,7820,2024-01-18 18:18:06,52.2488299,2,7023,02
148,21.0521885,7822,2024-01-18 18:04:09,52.1594735,010,3151,02
148,20.9782679,7822,2024-01-18 18:30:15,52.1694645,010,4040,71
520,21.155975,7823,2024-01-18 18:07:02,52.240391,3,2064,03
520,21.155975,7823,2024-01-18 18:08:02,52.240391,3,2064,03
125,21.0433153,7826,2024-01-18 17:59:57,52.2460203,1,1231,02
521,20.9637578,7828,2024-01-18 17:42:53,52.2079021,6,4119,03
521,20.9637641,7828,2024-01-18 17:44:55,52.2079011,6,4119,03
521,21.0788059,7828,2024-01-18 18:33:16,52.2436416,6,2134,02
180,20.9693026,7832,2024-01-18 17:42:53,52.2561499,7,6090,02
180,20.9456929,7832,2024-01-18 17:50:01,52.2685842,7,6131,02
180,20.9348474,7832,2024-01-18 18:09:02,52.2711527,7,6047,03
180,20.9620592,7832,2024-01-18 18:17:10,52.2587236,7,6091,01
521,21.1256276,7833,2024-01-18 17:55:01,52.2347147,010,2015,06
525,21.1642629,7835,2024-01-18 18:09:01,52.2178463,4,2025,01
525,21.1661423,7835,2024-01-18 18:10:08,52.2127038,4,2026,01
525,21.1965986,7835,2024-01-18 18:27:04,52.2083011,4,2032,01
525,21.1966063,7835,2024-01-18 18:29:10,52.2082928,4,2032,01
525,21.196631,7835,2024-01-18 18:31:11,52.2082989,4,2032,01
525,21.1965963,7835,2024-01-18 18:33:16,52.2082976,4,2032,01
525,21.1912055,7835,2024-01-18 18:36:11,52.2073733,4,2031,01
